,brand,name,price
0,Perricone MD,Neuropeptide Smoothing Facial Conformer,495.0
1,Guerlain,Orchidée Impériale The Cream,460.0
2,SK-II,Ultimate Revival Cream,385.0
3,La Mer,The Concentrate,370.0
4,La Mer,The Regenerating Serum,345.0
5,Guerlain,Orchidée Impériale The Gel Cream,335.0
6,Shiseido,Future Solution LX Intensive Firming Contour Serum,306.0
7,SK-II,Ultimate Revival Essence,305.0
8,Fresh,Crème Ancienne®,296.0
9,Perricone MD,Neuropeptide Firming Moisturizer,290.0
10,BIOEFFECT,30 Day Treatment,290.0
11,Shiseido,Future Solution LX Total Regenerating Cream,285.0
12,Lancer,Younger® Pure Youth Serum with MIMIXYL™,275.0
13,Lancer,Lift Serum Intense with Stem Cell Recovery Complex,275.0
14,Erno Laszlo,Phormula 3-9 Repair Cream,275.0
15,La Mer,The Moisturizing Soft Lotion,270.0
16,Fresh,Crème Ancienne Face Oil Elixir,270.0
17,La Mer,The Moisturizing Matte Lotion,270.0
18,Fresh,Crème Ancienne Face Oil Elixir,270.0
19,AMOREPACIFIC,TIME RESPONSE Eye Reserve Crème,260.0
20,La Mer,The Lifting Eye Serum,255.0
21,AMOREPACIFIC,Youth Revolution Vitamin C Radiance Concentrator,250.0
22,La Mer,The Renewal Oil,245.0
23,La Mer,The Perfecting Treatment,245.0
24,Fresh,Crème Ancienne® Supreme Face Serum,245.0
25,SK-II,GenOptics Aura Essence Serum,240.0
26,Omorovicza,Rejuvenating Night Cream,235.0
27,SK-II,R.N.A. POWER Face Cream,230.0
28,Guerlain,Orchidée Impériale Eye Serum,230.0
29,SK-II,GenOptics Spot Essence Serum,225.0
30,Shiseido,Future Solution LX Superior Radiance Serum,225.0
31,Guerlain,Abeille Royale Double R Renew & Repair Serum,215.0
32,La Mer,The Eye Concentrate,215.0
33,La Mer,The Eye Balm Intense,215.0
34,Perricone MD,Health & Weight Management Dietary Supplements,210.0
35,Lancôme,ABSOLUE PREMIUM Bx - Absolute Night Recovery Cream,205.0
36,La Mer,The Revitalizing Hydrating Serum,205.0
37,AMOREPACIFIC,All Day Balancing Care Serum,200.0
38,Guerlain,Orchidee Imperiale The Eye and Lip Contour Cream,200.0
39,SK-II,R.N.A. POWER Anti-Aging Essence Serum,195.0
40,SK-II,Ultimate Revival Eye Cream,195.0
41,Shiseido,Future Solution LX Replenishing Treatment Oil,188.0
42,Tata Harper,Crème Riche Velvet Moisturizing Cream,185.0
43,Lancer,Contour Décolleté,185.0
44,Lancôme,ABSOLUE PREMIUM ßx - Absolute Replenishing Lotion SPF 15 Sunscreen,185.0
45,Guerlain,Abeille Royale Night Cream,182.0
46,Guerlain,Super Aqua-Serum,180.0
47,SK-II,Facial Treatment Essence,179.0
48,Perricone MD,Essential Fx Acyl-Glutathione Intensive Overnight Moisturizer,179.0
49,SK-II,Facial Treatment Essence,179.0
50,Perricone MD,Essential Fx Acyl-Glutathione Deep Crease Serum,179.0
51,La Mer,Crreme de la Mer,175.0
52,La Mer,The Moisturizing Soft Cream,175.0
53,La Mer,The Moisturizing Cool Gel Cream,175.0
54,Dior,Capture Totale Intensive Night Restorative Crème,175.0
55,Lancôme,ABSOLUE PREMIUM ßx – Absolute Replenishing Cream SPF 15 Sunscreen,175.0
56,Kate Somerville,KateCeuticals™ Multi-Active Revive Triple Peptide Cream,175.0
57,RODIN olio lusso , Lavender Absolute Luxury Face Oil ,170.0
58,RODIN olio lusso , Geranium & Orange Blossom Luxury Face Oil,170.0
59,RODIN olio lusso ,Jasmine & Neroli Luxury Face Oil,170.0
60,SK-II,Facial Treatment Repair C,170.0
61,Kate Somerville,KateCeuticals™ Restor8 Replenishing Serum,170.0
62,SK-II,Facial Treatment Repair C,170.0
63,Perricone MD,Neuropeptide Firming & Illuminating Under-Eye Cream,170.0
64,LightStim ,Lightstim® for Acne,169.0
65,Estée Lauder,Advanced Night Repair Synchronized Recovery Complex II Duo,168.0
66,Fresh,Crème Ancienne Supreme Eye Serum,168.0
67,Dior,Capture Totale Multi-Perfection Creme,165.0
68,SK-II,Cellumination Cream EX,160.0
69,BIOEFFECT,EGF Serum,160.0
70,Omorovicza,Copper Peel,160.0
71,Dr. Dennis Gross Skincare,SpectraLite EyeCare Pro LED Device,159.0
72,SUNDAY RILEY,Good Genes All-In-One Lactic Acid Treatment,158.0
73,SUNDAY RILEY,CAPTAIN MARVEL x GOOD GENES All-In-One Lactic Acid Treatment,158.0
74,Lancer,Intensive Night Treatment with Hylaplex® and Marula Oil,155.0
75,Lancer,Intensive Night Treatment with Hylaplex® and Marula Oil,155.0
76,Perricone MD,Skin & Total Body Dietary Supplements,155.0
77,Guerlain,Abeille Royale Day Cream,154.0
78,Shiseido,Future Solution LX Eye and Lip Contour Regenerating Cream,153.0
79,Dr. Brandt Skincare,Do Not Age with Dr. Brandt Transforming Pearl Serum,152.0
80,AMOREPACIFIC,MOISTURE BOUND Rejuvenating Crème,150.0
81,Kate Somerville,Deep Tissue Repair Cream with Peptide K8™,150.0
82,AMOREPACIFIC,TIME RESPONSE Skin Reserve Crème,150.0
83,SK-II,Facial Treatment Oil,150.0
84,Omorovicza,Illuminating Moisturiser,150.0
85,La Mer,The Treatment Lotion,150.0
86,Caudalie,Premier Cru Serum,150.0
87,Guerlain,Abeille Royale Daily Repair Serum,150.0
88,BeautyBio,R45 The Reversal 3-Phase Retinol Booster System,150.0
89,Peter Thomas Roth,FIRMx Growth Factor Extreme Neuropeptide Serum,150.0
90,StackedSkincare,EGF Activating Serum,150.0
91,SK-II,Facial Treatment Oil,150.0
92,Omorovicza,Rose Lifting Serum,150.0
93,Omorovicza,Daily Vitamin C,150.0
94,Eve Lom,Age Defying Smoothing Treatment,150.0
95,StackedSkincare,PSC Peptide Serum,150.0
96,Eve Lom,WHITE Advanced Brightening Serum,150.0
97,Peter Thomas Roth,Un-Wrinkle® Turbo Face Serum ,150.0
98,Perricone MD,Cold Plasma+ Face,149.0
99,Foreo,ESPADA Blue Light Acne Treatment,149.0
